OBJECTID,code,FREQUENCY,SUM_parcel_acres
,,21685,14342.205472357618419
,f1,19475,6713.631704970919600
,f2,17277,7351.651153789830460
,f3,6860,1327.460877787013260
,f4,1889,196.707247568999861
,g1,6909,7373.443487514965454
,g2,15048,13548.973963721964537
,g3,7343,5774.659764172743962
,g4,7816,2369.467997425125759
,h1,35746,15121.628834778928649
,h2,22373,7381.830415871965670
,h3,4450,711.059855381681018
